,cnt_2019,words_2019,cnt_2020,words_2020,cnt_2021,words_2021,cnt_2022,words_2022
0,326,것로,1067,달러,3345,가격,3519,가격
1,292,원유,552,원유,2453,달러,2938,달러
2,289,배럴당,537,코로나,2368,상승,2620,배럴
3,274,달러,534,배럴,1971,것으로,2485,유가
4,221,있는,491,미국,1958,미국,2363,원유
5,209,이란,373,것으로,1774,오른,2275,러시아
6,205,오른,351,국제유,1680,지난해,2262,미국
7,200,미국,341,하락,1592,배럴,2156,우크라이나
8,197,달러에,338,인도분,1528,휘발유,2146,이후
9,193,휘발유,338,국제,1472,유가,2075,것으로
10,186,유가,310,오른,1265,원유,1937,상승
11,183,대한,306,거래,1236,기록,1727,휘발유
12,175,이후,295,상승,1214,가장,1693,가격이
13,167,만에,241,대한,1197,전국,1372,대한
14,159,국제유가가,239,서부,1175,분기,1345,최근
15,159,지난해,239,올해,1128,국제,1339,올해
16,156,인도분,235,지난,1127,코로나,1327,지난
17,153,거래를,234,텍사스산,1068,최근,1298,물가
18,153,국제,232,마쳤,1032,지난,1200,국제
19,152,하락,218,기록,1031,평균,1170,국내
20,150,지난,211,수요,1029,주유소,1166,앵커
21,149,밝혔,210,휘발유,1000,올해,1148,때문
22,148,트럼프,204,뉴욕상업거래소서,992,포인트,1146,경우
23,145,올해,197,월물,990,연속,1133,가장
24,144,가격은,196,정부,905,거래,1129,기록
25,139,상승,184,지수,900,물가,1127,경유
26,138,있고,175,내린,895,올랐,1111,유류세
27,133,마쳤,173,연속,819,가운데,1107,유가가
28,132,내린,168,중국,819,규모,1067,따르면
29,129,전국,166,대통령,810,따르면,1049,올랐
30,126,포인트,164,국내,798,대비,1037,국제유가
31,125,가장,163,현재,791,하락,1024,오른
32,122,전날보,162,주유소,750,시장,980,평균
33,121,이날,162,경제,740,보면,977,정부
34,120,미국의,162,따르면,727,개인,962,세계
35,119,유가가,157,마감,722,국제유가,944,하락
36,119,기록,156,대비,722,천억,941,이런
37,118,이번,155,우리,704,금리,938,경제
38,118,사우디,155,런던,703,경제,936,영향
39,116,서부,155,전국,702,영향,934,지난해
40,115,텍사스산,153,규모,692,것라,900,것이라
41,114,가격,153,때문,691,금지,894,리터
42,112,뉴욕상업거래소에서,153,금지,688,대한,890,시장
43,110,개월,152,영향,682,증시,884,너지
44,110,대비,149,것라,681,매일경제,875,밝혔
45,110,국제유가는,148,상황,680,마쳤,862,지금
46,109,상승한,143,상승한,677,지난주보,859,대비
47,107,현재,142,전날보,676,전망,853,석유
48,106,연속,142,포인트,675,국내,842,국제유가가
49,105,따르면,140,기자,672,오늘,819,인하
